dependency_changeset,dependent_changeset,dependency_type,dependency_package,dependent_package,cross_module,evidence,valid_order,resolution
cs-evaluations-grouping-entity-references,cs-evaluations-analytics-contracts,HARD_CONTRACT,E2,E2,false,Analytics primitives import InsightEntityReference from the typed reference contract.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-filter-architecture,cs-evaluations-analytics-contracts,HARD_CONTRACT,E2,E2,false,Analytics primitives import EvaluationsAnalyticsAppliedFilters.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-analytics-contracts,cs-evaluations-tenant-isolation,HARD_SECURITY,E2,E2,false,Contract definition precedes guard/repository enforcement; E2 cannot merge until enforcement tests pass.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-tenant-isolation,cs-evaluations-summary-detail-separation,HARD_SECURITY,E2,E2,false,Summary/detail controllers and repository queries must be tenant/station scoped at first merge.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-timezone-period-model,cs-evaluations-money-domain,HARD_CONTRACT,E1,E3,false,Historical finance values use explicit business-period and FX as-of time.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-money-domain,cs-evaluations-receivables,HARD_CONTRACT,E3,E3,false,Receivable amounts use amountMinor/currency without a second money authority.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-timezone-period-model,cs-evaluations-receivables,HARD_CONTRACT,E1,E3,false,Due/overdue state uses canonical zoned business dates.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-money-domain,cs-evaluations-finance-test-suite,TEST_ONLY,E3,E3,false,Finance acceptance fixtures cover every E3 finance capability in the same package.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-money-migration,cs-evaluations-finance-test-suite,TEST_ONLY,E3,E3,false,Finance acceptance fixtures cover every E3 finance capability in the same package.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-receivables,cs-evaluations-finance-test-suite,TEST_ONLY,E3,E3,false,Finance acceptance fixtures cover every E3 finance capability in the same package.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-revenue-cashflow-result,cs-evaluations-finance-test-suite,TEST_ONLY,E3,E3,false,Finance acceptance fixtures cover every E3 finance capability in the same package.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-tenant-isolation,cs-evaluations-revenue-cashflow-result,HARD_SECURITY,E2,E3,false,New finance analytics reads cannot merge without organization/station enforcement.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-analytics-contracts,cs-evaluations-analytics-summary,HARD_CONTRACT,E2,E4,false,"Analytics summary service/controller consumes the normalized analytics, detail, reference and filter contracts.",true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-summary-detail-separation,cs-evaluations-analytics-summary,HARD_CONTRACT,E2,E4,false,"Analytics summary service/controller consumes the normalized analytics, detail, reference and filter contracts.",true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-filter-architecture,cs-evaluations-analytics-summary,HARD_CONTRACT,E2,E4,false,"Analytics summary service/controller consumes the normalized analytics, detail, reference and filter contracts.",true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-tenant-isolation,cs-evaluations-analytics-summary,HARD_SECURITY,E2,E4,false,Summary repository/controller must enforce organization/station scope.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-money-domain,cs-evaluations-cost-model,HARD_CONTRACT,E3,E4,false,Cost values require the single canonical Money authority.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-filter-architecture,cs-evaluations-cost-model,HARD_CONTRACT,E2,E4,false,Cost calculations use canonical period/station filters.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-tenant-isolation,cs-evaluations-cost-model,HARD_SECURITY,E2,E4,false,Cost-model data access must be organization/station constrained.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-filter-architecture,cs-evaluations-utilization,HARD_CONTRACT,E2,E4,false,UtilizationSnapshotService imports resolved analytics filters.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-tenant-isolation,cs-evaluations-utilization,HARD_SECURITY,E2,E4,false,Vehicle/booking utilization queries are organization/station constrained.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-analytics-summary,cs-evaluations-strength-detection,HARD_CONTRACT,E4,E4,false,Detection inputs use the canonical analytics summary envelope.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-cost-model,cs-evaluations-strength-detection,HARD_CONTRACT,E4,E4,false,Detection service imports the cost-model summary/snapshot.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-analytics-summary,cs-evaluations-weakness-detection,HARD_CONTRACT,E4,E4,false,Detection inputs use the canonical analytics summary envelope.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-cost-model,cs-evaluations-weakness-detection,HARD_CONTRACT,E4,E4,false,Detection service imports the cost-model summary/snapshot.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-analytics-summary,cs-evaluations-driver-influence-analysis,HARD_CONTRACT,E4,E4,false,"Driver analysis source imports the referenced summary, model, detection and entity-reference contracts.",true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-cost-model,cs-evaluations-driver-influence-analysis,HARD_CONTRACT,E4,E4,false,"Driver analysis source imports the referenced summary, model, detection and entity-reference contracts.",true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-utilization,cs-evaluations-driver-influence-analysis,HARD_CONTRACT,E4,E4,false,"Driver analysis source imports the referenced summary, model, detection and entity-reference contracts.",true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-grouping-entity-references,cs-evaluations-driver-influence-analysis,HARD_CONTRACT,E2,E4,false,"Driver analysis source imports the referenced summary, model, detection and entity-reference contracts.",true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-cost-model,cs-evaluations-data-quality,HARD_CONTRACT,E4,E5,false,Data-quality service enriches the cost-model summary.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-utilization,cs-evaluations-data-quality,HARD_CONTRACT,E4,E5,false,Data-quality service enriches the utilization summary.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-data-quality,cs-evaluations-metric-state-ux,HARD_CONTRACT,E5,E5,false,Metric-state UX maps quality availability without fabricating values.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-freshness-lineage,cs-evaluations-metric-state-ux,HARD_CONTRACT,E5,E5,false,Stale/lineage status is part of the metric-state contract.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-tenant-isolation,cs-evaluations-gdpr,HARD_SECURITY,E2,E5,false,Privacy policy is evaluated inside organization/station scope.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-grouping-entity-references,cs-evaluations-gdpr,HARD_SECURITY,E2,E5,false,PII/detail policy relies on typed entity ownership.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-tenant-isolation,cs-evaluations-roles-permissions,HARD_SECURITY,E2,E5,false,Central evaluation permissions layer on top of tenant/station enforcement.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-gdpr,cs-evaluations-audit-logging,HARD_SECURITY,E5,E5,false,Audit payload/retention follows the privacy policy.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-tenant-isolation,cs-evaluations-audit-logging,HARD_SECURITY,E2,E5,false,Audit events require authoritative organization/station scope.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-analytics-contracts,cs-evaluations-information-architecture,HARD_CONTRACT,E2,E6,false,EvaluationsPage sections bind only to canonical analytics contracts.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-tenant-isolation,cs-evaluations-information-architecture,HARD_SECURITY,E2,E6,false,UI cannot expose a route before its backing API is tenant safe.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-data-quality,cs-evaluations-data-quality-panel,HARD_CONTRACT,E5,E6,false,"Data-quality panel renders canonical quality, lineage and metric-state contracts.",true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-freshness-lineage,cs-evaluations-data-quality-panel,HARD_CONTRACT,E5,E6,false,"Data-quality panel renders canonical quality, lineage and metric-state contracts.",true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-information-architecture,cs-evaluations-data-quality-panel,SOFT_UI,E6,E6,false,Panel is mounted in the canonical EvaluationsPage section structure.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-analytics-summary,cs-evaluations-executive-kpi-strip,HARD_CONTRACT,E4,E6,false,"KPI strip requires the canonical shell plus real summary, finance and metric-state values.",true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-revenue-cashflow-result,cs-evaluations-executive-kpi-strip,HARD_CONTRACT,E3,E6,false,"KPI strip requires the canonical shell plus real summary, finance and metric-state values.",true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-metric-state-ux,cs-evaluations-executive-kpi-strip,HARD_CONTRACT,E5,E6,false,"KPI strip requires the canonical shell plus real summary, finance and metric-state values.",true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-information-architecture,cs-evaluations-strength-weakness-cockpit,SOFT_UI,E6,E6,false,Cockpit mounts in the shell and consumes actual strength/weakness contracts.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-strength-detection,cs-evaluations-strength-weakness-cockpit,HARD_CONTRACT,E4,E6,false,Cockpit mounts in the shell and consumes actual strength/weakness contracts.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-weakness-detection,cs-evaluations-strength-weakness-cockpit,HARD_CONTRACT,E4,E6,false,Cockpit mounts in the shell and consumes actual strength/weakness contracts.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-information-architecture,cs-evaluations-risk-cost-failure-visuals,SOFT_UI,E6,E6,false,Risk/cost visualizations consume existing analytics risk and cost data; predictive failure stays gated.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-cost-model,cs-evaluations-risk-cost-failure-visuals,HARD_CONTRACT,E4,E6,false,Risk/cost visualizations consume existing analytics risk and cost data; predictive failure stays gated.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-analytics-summary,cs-evaluations-risk-cost-failure-visuals,HARD_CONTRACT,E4,E6,false,Risk/cost visualizations consume existing analytics risk and cost data; predictive failure stays gated.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-data-quality-panel,cs-evaluations-mobile-readiness,TEST_ONLY,E6,E6,false,Responsive acceptance covers every recovered core UI surface.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-executive-kpi-strip,cs-evaluations-mobile-readiness,TEST_ONLY,E6,E6,false,Responsive acceptance covers every recovered core UI surface.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-strength-weakness-cockpit,cs-evaluations-mobile-readiness,TEST_ONLY,E6,E6,false,Responsive acceptance covers every recovered core UI surface.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-grouping-entity-references,cs-evaluations-recommendation-domain,HARD_CONTRACT,E2,E7,false,"Recommendation records require typed targets plus tenant, permission and audit authority.",true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-tenant-isolation,cs-evaluations-recommendation-domain,HARD_SECURITY,E2,E7,false,"Recommendation records require typed targets plus tenant, permission and audit authority.",true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-roles-permissions,cs-evaluations-recommendation-domain,HARD_SECURITY,E5,E7,false,"Recommendation records require typed targets plus tenant, permission and audit authority.",true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-audit-logging,cs-evaluations-recommendation-domain,HARD_SECURITY,E5,E7,false,"Recommendation records require typed targets plus tenant, permission and audit authority.",true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-information-architecture,cs-evaluations-action-center,SOFT_UI,E6,E7,false,Action Center mounts in the recovered EvaluationsPage.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-tenant-isolation,cs-evaluations-action-integrations,HARD_SECURITY,E2,E7,false,"Material integrations require UI confirmation, tenant/RBAC checks and durable audit before side effects.",true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-roles-permissions,cs-evaluations-action-integrations,HARD_SECURITY,E5,E7,false,"Material integrations require UI confirmation, tenant/RBAC checks and durable audit before side effects.",true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-audit-logging,cs-evaluations-action-integrations,HARD_SECURITY,E5,E7,false,"Material integrations require UI confirmation, tenant/RBAC checks and durable audit before side effects.",true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-recommendation-domain,cs-evaluations-impact-measurement,HARD_SCHEMA,E7,E7,false,Impact persistence references canonical recommendation state.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-analytics-contracts,cs-evaluations-predictive-analytics-architecture,HARD_CONTRACT,E2,E8,false,"Predictive architecture requires canonical analytics, tenant, quality/lineage and audited release authority.",true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-tenant-isolation,cs-evaluations-predictive-analytics-architecture,HARD_SECURITY,E2,E8,false,"Predictive architecture requires canonical analytics, tenant, quality/lineage and audited release authority.",true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-data-quality,cs-evaluations-predictive-analytics-architecture,HARD_CONTRACT,E5,E8,false,"Predictive architecture requires canonical analytics, tenant, quality/lineage and audited release authority.",true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-freshness-lineage,cs-evaluations-predictive-analytics-architecture,HARD_CONTRACT,E5,E8,false,"Predictive architecture requires canonical analytics, tenant, quality/lineage and audited release authority.",true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-audit-logging,cs-evaluations-predictive-analytics-architecture,HARD_SECURITY,E5,E8,false,"Predictive architecture requires canonical analytics, tenant, quality/lineage and audited release authority.",true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-tenant-isolation,cs-evaluations-feature-store,HARD_SECURITY,E2,E8,false,Every feature snapshot is organization scoped.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-feature-store,cs-evaluations-maintenance-failure-forecast,HARD_RUNTIME,E8,E8,false,Maintenance/failure forecasts consume point-in-time feature snapshots.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-demand-revenue-utilization-forecast,cs-evaluations-backtesting-drift,HARD_RUNTIME,E8,E8,false,Release backtests evaluate demand/revenue/utilization candidates.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-roles-permissions,cs-evaluations-forecast-ux,HARD_SECURITY,E5,E9,false,Forecast reads use the central evaluations.forecast.read capability.,true,ACTIVE_NORMALIZED_EDGE
cs-evaluations-information-architecture,cs-evaluations-forecast-ux,SOFT_UI,E6,E9,false,Forecast UI mounts only in the canonical EvaluationsPage.,true,ACTIVE_NORMALIZED_EDGE
