pr,classification,reason,evidence,replacement_commit_or_pr,confidence
336,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4152 | current head/base unchanged from Phase 1: 0bfa1367d26ffb06d0693afd6d332d4caa2637d2 / a1fe7022ce39561b4924b35bac67830f4fa5fa70,"[""0bfa1367d26ffb06d0693afd6d332d4caa2637d2""]",HIGH
337,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4148 | current head/base unchanged from Phase 1: f38d9f2a71dfa7d90c53b43456a675411afb9bc2 / 0bfa1367d26ffb06d0693afd6d332d4caa2637d2,"[""f38d9f2a71dfa7d90c53b43456a675411afb9bc2""]",HIGH
338,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4141 | current head/base unchanged from Phase 1: 895ba551f4bae9d5d1211cc7efd07bdd36f2ae64 / f38d9f2a71dfa7d90c53b43456a675411afb9bc2,"[""895ba551f4bae9d5d1211cc7efd07bdd36f2ae64""]",HIGH
339,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4141 | current head/base unchanged from Phase 1: 76ed53d2942fceddc43a7a11c126bd0002ce1728 / 895ba551f4bae9d5d1211cc7efd07bdd36f2ae64,"[""76ed53d2942fceddc43a7a11c126bd0002ce1728""]",HIGH
340,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4132 | current head/base unchanged from Phase 1: 0329182a121dcdf784165d59dcfe6e62d80a2a49 / 76ed53d2942fceddc43a7a11c126bd0002ce1728,"[""0329182a121dcdf784165d59dcfe6e62d80a2a49""]",HIGH
341,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4122 | current head/base unchanged from Phase 1: ffb6181272c2af4377494716824417157a20ccf3 / 0329182a121dcdf784165d59dcfe6e62d80a2a49,"[""ffb6181272c2af4377494716824417157a20ccf3""]",HIGH
342,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4114 | current head/base unchanged from Phase 1: 5b931efe5dddc83ad4f17c263686e33d121f5dd3 / ffb6181272c2af4377494716824417157a20ccf3,"[""5b931efe5dddc83ad4f17c263686e33d121f5dd3""]",HIGH
343,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4104 | current head/base unchanged from Phase 1: b2fd71fc6ee534bace4a093de88d395f43a4a5a8 / 5b931efe5dddc83ad4f17c263686e33d121f5dd3,"[""b2fd71fc6ee534bace4a093de88d395f43a4a5a8""]",HIGH
345,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4097 | current head/base unchanged from Phase 1: c0fa988a7fb3a21e4ccbc1f1c7a3cee2fd7b31ec / b2fd71fc6ee534bace4a093de88d395f43a4a5a8,"[""c0fa988a7fb3a21e4ccbc1f1c7a3cee2fd7b31ec""]",HIGH
347,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4091 | current head/base unchanged from Phase 1: aa1d33b764961f06fc500535747e95de718bba3a / c0fa988a7fb3a21e4ccbc1f1c7a3cee2fd7b31ec,"[""aa1d33b764961f06fc500535747e95de718bba3a""]",HIGH
348,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4088 | current head/base unchanged from Phase 1: 183888bf3dae1a0cea007873b9eabddf1934b664 / aa1d33b764961f06fc500535747e95de718bba3a,"[""183888bf3dae1a0cea007873b9eabddf1934b664""]",HIGH
349,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4085 | current head/base unchanged from Phase 1: 57e216059c5c951ff3f047e30ca487e4a3e7ec41 / 183888bf3dae1a0cea007873b9eabddf1934b664,"[""57e216059c5c951ff3f047e30ca487e4a3e7ec41""]",HIGH
350,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4080 | current head/base unchanged from Phase 1: 51881acaa2fb67f725fb6ddf465adc942a0e2b66 / 57e216059c5c951ff3f047e30ca487e4a3e7ec41,"[""51881acaa2fb67f725fb6ddf465adc942a0e2b66""]",HIGH
351,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4061 | current head/base unchanged from Phase 1: a86614bea4b3945062149d71e6c520f85973101a / 51881acaa2fb67f725fb6ddf465adc942a0e2b66,"[""a86614bea4b3945062149d71e6c520f85973101a""]",HIGH
352,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4056 | current head/base unchanged from Phase 1: f03f5061bd5bf466be2b6a9705d7f5f25a81411b / a86614bea4b3945062149d71e6c520f85973101a,"[""f03f5061bd5bf466be2b6a9705d7f5f25a81411b""]",HIGH
353,SAFE_TO_CLOSE_ALREADY_IN_MAIN,2/2 API-listed commits reachable from current origin/main,2/2 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4052 | current head/base unchanged from Phase 1: c8b6b8a0a8502c961a3ece6ce4f995015c6faac1 / c07cc8eddf804187fb8554efd792f0c3e038e3ad,"[""c8b6b8a0a8502c961a3ece6ce4f995015c6faac1"",""fc05a1a90ff37a1103e8938abe504919fc8a2988""]",HIGH
354,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3994 | current head/base unchanged from Phase 1: ca01ca751f0c70377483605fe47df1289328b446 / dbaab4a55e438934841f745ed59c963caf30f27e,"[""ca01ca751f0c70377483605fe47df1289328b446""]",HIGH
355,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3987 | current head/base unchanged from Phase 1: d990dd138577051a66bff8cfb4a79a71ee08a410 / ca01ca751f0c70377483605fe47df1289328b446,"[""d990dd138577051a66bff8cfb4a79a71ee08a410""]",HIGH
356,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3979 | current head/base unchanged from Phase 1: d4c7ac1713b8b10f9bdac4bb2304b0cd3a5e9c08 / d990dd138577051a66bff8cfb4a79a71ee08a410,"[""d4c7ac1713b8b10f9bdac4bb2304b0cd3a5e9c08""]",HIGH
357,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3971 | current head/base unchanged from Phase 1: 32dc81a0443c6c6f895d86d76b2f937e11be411d / d4c7ac1713b8b10f9bdac4bb2304b0cd3a5e9c08,"[""32dc81a0443c6c6f895d86d76b2f937e11be411d""]",HIGH
358,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3965 | current head/base unchanged from Phase 1: 640fa3fc8ed8b9838a4cbeed1674b46eb841bc53 / 32dc81a0443c6c6f895d86d76b2f937e11be411d,"[""640fa3fc8ed8b9838a4cbeed1674b46eb841bc53""]",HIGH
359,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3954 | current head/base unchanged from Phase 1: 067134585ff2148f2f0259791b43be26bed0ee19 / 640fa3fc8ed8b9838a4cbeed1674b46eb841bc53,"[""067134585ff2148f2f0259791b43be26bed0ee19""]",HIGH
360,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3944 | current head/base unchanged from Phase 1: 3248ba3f5993d0ff084de4d509e1829a6b8ba3fe / 067134585ff2148f2f0259791b43be26bed0ee19,"[""3248ba3f5993d0ff084de4d509e1829a6b8ba3fe""]",HIGH
361,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3934 | current head/base unchanged from Phase 1: 52a3b27a40a6701008c4b806e2b35ce99efa21c2 / 3248ba3f5993d0ff084de4d509e1829a6b8ba3fe,"[""52a3b27a40a6701008c4b806e2b35ce99efa21c2""]",HIGH
362,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3928 | current head/base unchanged from Phase 1: f1414da9ec5e03c71fd68270a4aa2c7930e21324 / 52a3b27a40a6701008c4b806e2b35ce99efa21c2,"[""f1414da9ec5e03c71fd68270a4aa2c7930e21324""]",HIGH
363,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3915 | current head/base unchanged from Phase 1: 95254223db1c046701e4992d545944fabca2cb2e / f1414da9ec5e03c71fd68270a4aa2c7930e21324,"[""95254223db1c046701e4992d545944fabca2cb2e""]",HIGH
364,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3910 | current head/base unchanged from Phase 1: acf61d07d116e9a0e49c1f63477bd3c6a3d676af / 95254223db1c046701e4992d545944fabca2cb2e,"[""acf61d07d116e9a0e49c1f63477bd3c6a3d676af""]",HIGH
365,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3906 | current head/base unchanged from Phase 1: 6bedf2a706dfdcf4db3208b303cc8011ccdf3ae8 / acf61d07d116e9a0e49c1f63477bd3c6a3d676af,"[""6bedf2a706dfdcf4db3208b303cc8011ccdf3ae8""]",HIGH
366,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3904 | current head/base unchanged from Phase 1: 5d44972a5dc5a43247656adb206b66c3e149a449 / 6bedf2a706dfdcf4db3208b303cc8011ccdf3ae8,"[""5d44972a5dc5a43247656adb206b66c3e149a449""]",HIGH
367,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3899 | current head/base unchanged from Phase 1: 4b99ceab8329f26189606fa8881d2e62df51cc5a / 5d44972a5dc5a43247656adb206b66c3e149a449,"[""4b99ceab8329f26189606fa8881d2e62df51cc5a""]",HIGH
405,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3210 | current head/base unchanged from Phase 1: 83b90690f33a57ae5353ef0a3fc7cd68c366f4f6 / 30b16f877ced8be617349bd7d51053a47e4e527b,"[""83b90690f33a57ae5353ef0a3fc7cd68c366f4f6""]",HIGH
406,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3200 | current head/base unchanged from Phase 1: 800220ce46fb4e3992baf7a77faad241d3c936ba / 83b90690f33a57ae5353ef0a3fc7cd68c366f4f6,"[""800220ce46fb4e3992baf7a77faad241d3c936ba""]",HIGH
407,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3190 | current head/base unchanged from Phase 1: adb8ea6c5543c6ff2a5d1e701210b3b1147ef54c / 800220ce46fb4e3992baf7a77faad241d3c936ba,"[""adb8ea6c5543c6ff2a5d1e701210b3b1147ef54c""]",HIGH
408,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3176 | current head/base unchanged from Phase 1: a676bc1b96b5a1256234657a2b052e5188961859 / adb8ea6c5543c6ff2a5d1e701210b3b1147ef54c,"[""a676bc1b96b5a1256234657a2b052e5188961859""]",HIGH
410,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3169 | current head/base unchanged from Phase 1: 0802eb1677af8c79b7a598acbab652f44b2645b1 / a676bc1b96b5a1256234657a2b052e5188961859,"[""0802eb1677af8c79b7a598acbab652f44b2645b1""]",HIGH
411,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3157 | current head/base unchanged from Phase 1: 37f427a454cccbeb2572cd6618ffafcc685cd128 / 0802eb1677af8c79b7a598acbab652f44b2645b1,"[""37f427a454cccbeb2572cd6618ffafcc685cd128""]",HIGH
412,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3152 | current head/base unchanged from Phase 1: 319095027adbf376aeac5de76d50eac967c21a9a / 37f427a454cccbeb2572cd6618ffafcc685cd128,"[""319095027adbf376aeac5de76d50eac967c21a9a""]",HIGH
414,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3147 | current head/base unchanged from Phase 1: 49f4c17e51d4de0c07bd0be96283b1f782af90a3 / 319095027adbf376aeac5de76d50eac967c21a9a,"[""49f4c17e51d4de0c07bd0be96283b1f782af90a3""]",HIGH
415,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3143 | current head/base unchanged from Phase 1: 7191b9d269c4cbbdade4005df96a4d63bbad0e4b / 49f4c17e51d4de0c07bd0be96283b1f782af90a3,"[""7191b9d269c4cbbdade4005df96a4d63bbad0e4b""]",HIGH
416,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3130 | current head/base unchanged from Phase 1: 9ece380c259e186c59a97f4f7b1373af57030398 / 7191b9d269c4cbbdade4005df96a4d63bbad0e4b,"[""9ece380c259e186c59a97f4f7b1373af57030398""]",HIGH
417,SAFE_TO_CLOSE_ALREADY_IN_MAIN,2/2 API-listed commits reachable from current origin/main,2/2 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3123 | current head/base unchanged from Phase 1: d46b798b20db4ff858a06e41729a6eeac6491a19 / 9ece380c259e186c59a97f4f7b1373af57030398,"[""d46b798b20db4ff858a06e41729a6eeac6491a19"",""fa8e3d10b49e822e1b0054bd626a27aacef64ea9""]",HIGH
418,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3111 | current head/base unchanged from Phase 1: fb43970c9b2e11d66eaafa15e7ffecefb3b26ba3 / d46b798b20db4ff858a06e41729a6eeac6491a19,"[""fb43970c9b2e11d66eaafa15e7ffecefb3b26ba3""]",HIGH
419,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3101 | current head/base unchanged from Phase 1: 36fcc26b0ebbad595b10b894ac3f900f7e121646 / fb43970c9b2e11d66eaafa15e7ffecefb3b26ba3,"[""36fcc26b0ebbad595b10b894ac3f900f7e121646""]",HIGH
421,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3089 | current head/base unchanged from Phase 1: aad9c76dd9fc6e961ecb4afff462474fea8a1413 / 36fcc26b0ebbad595b10b894ac3f900f7e121646,"[""aad9c76dd9fc6e961ecb4afff462474fea8a1413""]",HIGH
422,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3083 | current head/base unchanged from Phase 1: 9cc5857e5d32adeeec11765f955d81966b442766 / aad9c76dd9fc6e961ecb4afff462474fea8a1413,"[""9cc5857e5d32adeeec11765f955d81966b442766""]",HIGH
423,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3076 | current head/base unchanged from Phase 1: fd90a6d10bfa642d629cfc80719c57e858cfca4c / 9cc5857e5d32adeeec11765f955d81966b442766,"[""fd90a6d10bfa642d629cfc80719c57e858cfca4c""]",HIGH
424,SAFE_TO_CLOSE_ALREADY_IN_MAIN,2/2 API-listed commits reachable from current origin/main,2/2 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3070 | current head/base unchanged from Phase 1: bdd021e9f60dd77b79f5878d90aff7207002ec6c / fd90a6d10bfa642d629cfc80719c57e858cfca4c,"[""8a0778a2742a4a8fc88a00f1e568eefd54a6610b"",""bdd021e9f60dd77b79f5878d90aff7207002ec6c""]",HIGH
425,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3064 | current head/base unchanged from Phase 1: 3fb448b6da6d11ee35e4ab1de51f6e5b94e9ffa3 / bdd021e9f60dd77b79f5878d90aff7207002ec6c,"[""3fb448b6da6d11ee35e4ab1de51f6e5b94e9ffa3""]",HIGH
426,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3058 | current head/base unchanged from Phase 1: 5b38dbd3f4138b7282e66ba16f850fe50446cb32 / 3fb448b6da6d11ee35e4ab1de51f6e5b94e9ffa3,"[""5b38dbd3f4138b7282e66ba16f850fe50446cb32""]",HIGH
428,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3052 | current head/base unchanged from Phase 1: bb357d0ceaae8ad79647f7eb91d3d5629e26d6fc / 5b38dbd3f4138b7282e66ba16f850fe50446cb32,"[""bb357d0ceaae8ad79647f7eb91d3d5629e26d6fc""]",HIGH
429,SAFE_TO_CLOSE_ALREADY_IN_MAIN,2/2 API-listed commits reachable from current origin/main,2/2 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3046 | current head/base unchanged from Phase 1: 41fec98447926f15e0cf6862dd2f0de334f5e849 / bb357d0ceaae8ad79647f7eb91d3d5629e26d6fc,"[""41fec98447926f15e0cf6862dd2f0de334f5e849"",""dfc3d47328920fffe13625a20501bf825de1cbf6""]",HIGH
430,SAFE_TO_CLOSE_ALREADY_IN_MAIN,2/2 API-listed commits reachable from current origin/main,2/2 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3040 | current head/base unchanged from Phase 1: 168dd825f71ebb5fe21b470d474ba67df8e1c886 / 41fec98447926f15e0cf6862dd2f0de334f5e849,"[""167aaba8f98bae3d28d9a778a9a5a952a4fd3780"",""168dd825f71ebb5fe21b470d474ba67df8e1c886""]",HIGH
431,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3034 | current head/base unchanged from Phase 1: cf6a4bcae196d060d8e0a1e3c67e87124e95d8ff / 168dd825f71ebb5fe21b470d474ba67df8e1c886,"[""cf6a4bcae196d060d8e0a1e3c67e87124e95d8ff""]",HIGH
432,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3030 | current head/base unchanged from Phase 1: a610f375802ba218fb6b35ddba556f8317301e60 / cf6a4bcae196d060d8e0a1e3c67e87124e95d8ff,"[""a610f375802ba218fb6b35ddba556f8317301e60""]",HIGH
433,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3020 | current head/base unchanged from Phase 1: dcf4440562d6231bf5fdeb18ea97c38e4eccd3d2 / a610f375802ba218fb6b35ddba556f8317301e60,"[""dcf4440562d6231bf5fdeb18ea97c38e4eccd3d2""]",HIGH
434,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3008 | current head/base unchanged from Phase 1: a66af18654a4464544c367fecf656b0353c57386 / dcf4440562d6231bf5fdeb18ea97c38e4eccd3d2,"[""a66af18654a4464544c367fecf656b0353c57386""]",HIGH
435,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3003 | current head/base unchanged from Phase 1: 60181e4d28d8702a8845efeac48b091ecdb00aa4 / a66af18654a4464544c367fecf656b0353c57386,"[""60181e4d28d8702a8845efeac48b091ecdb00aa4""]",HIGH
436,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=2995 | current head/base unchanged from Phase 1: 916d6cb0a6cb35698ac817589e2577efedbe6f4d / 60181e4d28d8702a8845efeac48b091ecdb00aa4,"[""916d6cb0a6cb35698ac817589e2577efedbe6f4d""]",HIGH
437,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=2986 | current head/base unchanged from Phase 1: c06ec4d92cddbb52cbf78960f03aa47878fbc8ea / 916d6cb0a6cb35698ac817589e2577efedbe6f4d,"[""c06ec4d92cddbb52cbf78960f03aa47878fbc8ea""]",HIGH
438,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=2984 | current head/base unchanged from Phase 1: a0b249dcdffcac1a268a39782a34f874c8a49d9a / c06ec4d92cddbb52cbf78960f03aa47878fbc8ea,"[""a0b249dcdffcac1a268a39782a34f874c8a49d9a""]",HIGH
439,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=2978 | current head/base unchanged from Phase 1: 7d80df837401144e54a74a496bb37cdc254c79df / a0b249dcdffcac1a268a39782a34f874c8a49d9a,"[""7d80df837401144e54a74a496bb37cdc254c79df""]",HIGH
